method,beta,fold,seed,task_id,seen_classes,accuracy,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,0,1,5,0.8,0.44728556275367737,0.20393109321594238,0.763349006857609
zero_shot_clap,0.0,1,0,2,10,0.7875,0.4180127680301666,0.15670987963676453,0.791886748477592
zero_shot_clap,0.0,1,0,3,15,0.8083333333333333,0.38887009024620056,0.07948743551969528,0.7914497621173061
zero_shot_clap,0.0,1,0,4,20,0.79375,0.38256168365478516,0.05058620870113373,0.7869404219114329
zero_shot_clap,0.0,1,0,5,25,0.82,0.3794518709182739,0.037729114294052124,0.7885155145318222
zero_shot_clap,0.0,1,0,6,30,0.8166666666666667,0.36996951699256897,0.027957193553447723,0.7946601874796847
zero_shot_clap,0.0,1,0,7,35,0.8357142857142857,0.37893763184547424,0.02422233112156391,0.7747884670566632
zero_shot_clap,0.0,1,0,8,40,0.840625,0.3803374767303467,0.023385757580399513,0.7692082538602791
zero_shot_clap,0.0,1,0,9,45,0.8416666666666667,0.3826231360435486,0.025183379650115967,0.7661478647428122
zero_shot_clap,0.0,1,0,10,50,0.8425,0.38761162757873535,0.024950679391622543,0.7620153201869715
naive_adapter,0.0,1,0,1,5,1.0,0.49070826172828674,0.13591305911540985,0.7051289251000015
naive_adapter,0.0,1,0,2,10,0.825,0.35192355513572693,0.015978075563907623,0.8152406278775648
naive_adapter,0.0,1,0,3,15,0.7583333333333333,0.3585750460624695,0.019253576174378395,0.814190420901386
naive_adapter,0.0,1,0,4,20,0.7125,0.39009028673171997,0.04425914213061333,0.7671142544915093
naive_adapter,0.0,1,0,5,25,0.81,0.4044545292854309,0.04023377597332001,0.7355139117118282
naive_adapter,0.0,1,0,6,30,0.7041666666666667,0.3701416254043579,0.026408737525343895,0.7872505502017529
naive_adapter,0.0,1,0,7,35,0.8035714285714286,0.35590508580207825,-0.017294282093644142,0.786284417451571
naive_adapter,0.0,1,0,8,40,0.765625,0.40810784697532654,0.04606611654162407,0.7371487182720196
naive_adapter,0.0,1,0,9,45,0.8,0.3941631019115448,0.02730058878660202,0.746872080237427
naive_adapter,0.0,1,0,10,50,0.71,0.36058464646339417,0.00032395421294495463,0.8061801676139879
mgp_only,0.0,1,0,1,5,1.0,0.500461220741272,0.14714168012142181,0.703703197317498
mgp_only,0.0,1,0,2,10,0.8625,0.3968961536884308,0.05371417850255966,0.7741462632868877
mgp_only,0.0,1,0,3,15,0.7666666666666667,0.3719412386417389,0.027943195775151253,0.7937143268539224
mgp_only,0.0,1,0,4,20,0.71875,0.3887155055999756,0.03433005511760712,0.7613365222934779
mgp_only,0.0,1,0,5,25,0.81,0.396727055311203,0.028939615935087204,0.7437321931107873
mgp_only,0.0,1,0,6,30,0.7083333333333334,0.35908862948417664,0.02059643715620041,0.815965468287799
mgp_only,0.0,1,0,7,35,0.8107142857142857,0.34023088216781616,-0.025165408849716187,0.8162440544578177
mgp_only,0.0,1,0,8,40,0.746875,0.39588481187820435,0.04335176572203636,0.7642799427645878
mgp_only,0.0,1,0,9,45,0.8361111111111111,0.3993918001651764,0.034235935658216476,0.7368619503010725
mgp_only,0.0,1,0,10,50,0.71,0.3659150302410126,0.009980745613574982,0.8107546563028575
mgc_only,4.0,1,0,1,5,1.0,0.49474573135375977,0.1410793960094452,0.7048848101995681
mgc_only,4.0,1,0,2,10,0.9,0.3583933413028717,0.02665656991302967,0.8086557577965288
mgc_only,4.0,1,0,3,15,0.7833333333333333,0.3615172207355499,0.029169518500566483,0.80832009430781
mgc_only,4.0,1,0,4,20,0.78125,0.3910263180732727,0.04997347667813301,0.7577930402206923
mgc_only,4.0,1,0,5,25,0.915,0.39862510561943054,0.04027889668941498,0.7282083759489814
mgc_only,4.0,1,0,6,30,0.7625,0.37193214893341064,0.025497283786535263,0.792810655248344
mgc_only,4.0,1,0,7,35,0.8678571428571429,0.36339330673217773,-0.01157816220074892,0.7798924409151167
mgc_only,4.0,1,0,8,40,0.846875,0.4059375822544098,0.038368746638298035,0.7389333625924451
mgc_only,4.0,1,0,9,45,0.9027777777777778,0.41524970531463623,0.03466881811618805,0.6954158103019203
mgc_only,4.0,1,0,10,50,0.815,0.3749310374259949,0.009583724662661552,0.7825153558906336
mgp_mgc,4.0,1,0,1,5,1.0,0.5003451108932495,0.14566469192504883,0.703219317769183
mgp_mgc,4.0,1,0,2,10,0.9625,0.4005603790283203,0.05948742851614952,0.7687659274328137
mgp_mgc,4.0,1,0,3,15,0.9,0.3755705654621124,0.032488107681274414,0.7864542912958085
mgp_mgc,4.0,1,0,4,20,0.8375,0.3910941183567047,0.03783843293786049,0.7572933141370944
mgp_mgc,4.0,1,0,5,25,0.9,0.39689749479293823,0.0301582720130682,0.7421633200286192
mgp_mgc,4.0,1,0,6,30,0.7791666666666667,0.35640114545822144,0.019443541765213013,0.8141317483562791
mgp_mgc,4.0,1,0,7,35,0.9178571428571428,0.3315814137458801,-0.030999384820461273,0.8229390767494481
mgp_mgc,4.0,1,0,8,40,0.8625,0.39485740661621094,0.04035700485110283,0.7592953701099798
mgp_mgc,4.0,1,0,9,45,0.8722222222222222,0.39879709482192993,0.0348019041121006,0.7369848215098477
mgp_mgc,4.0,1,0,10,50,0.8325,0.36833474040031433,0.012006300501525402,0.7986332849967366
zero_shot_clap,0.0,2,0,1,5,0.775,0.4541921615600586,0.20828139781951904,0.7702904767439461
zero_shot_clap,0.0,2,0,2,10,0.775,0.41824084520339966,0.15548895299434662,0.786751113412759
zero_shot_clap,0.0,2,0,3,15,0.8166666666666667,0.39343318343162537,0.08028502017259598,0.7823336475368822
