method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,3,0.8282777777777779,0.6675,0.3638888888888889,3
mgc_only,4.0,2,3,0.8339414682539683,0.665,0.36666666666666664,3
mgc_only,4.0,3,3,0.8308353174603175,0.685,0.3416666666666666,2
mgc_only,4.0,4,3,0.8451666666666666,0.695,0.3333333333333333,2
mgc_only,4.0,5,3,0.7989920634920635,0.64,0.3888888888888889,2
mgp_mgc,4.0,1,3,0.9601388888888888,0.9025,0.09166666666666667,3
mgp_mgc,4.0,2,3,0.9666488095238096,0.9175,0.07222222222222223,3
mgp_mgc,4.0,3,3,0.9755079365079364,0.9375,0.06111111111111113,2
mgp_mgc,4.0,4,3,0.9750525793650793,0.95,0.044444444444444446,2
mgp_mgc,4.0,5,3,0.9595029761904762,0.915,0.08333333333333333,2
mgp_only,0.0,1,3,0.9215257936507936,0.8775,0.09722222222222222,3
mgp_only,0.0,2,3,0.934873015873016,0.8725,0.1027777777777778,3
mgp_only,0.0,3,3,0.9457172619047618,0.9,0.08055555555555555,2
mgp_only,0.0,4,3,0.9414285714285715,0.9025,0.06666666666666667,2
mgp_only,0.0,5,3,0.9261339285714285,0.89,0.0861111111111111,2
naive_adapter,0.0,1,3,0.7971696428571429,0.6925,0.33888888888888885,3
naive_adapter,0.0,2,3,0.7928224206349207,0.6325,0.40555555555555556,3
naive_adapter,0.0,3,3,0.7804503968253969,0.635,0.3972222222222222,2
naive_adapter,0.0,4,3,0.8081458333333333,0.6475,0.38611111111111107,2
naive_adapter,0.0,5,3,0.787843253968254,0.635,0.4027777777777778,2
zero_shot_clap,0.0,1,3,0.898904761904762,0.8425,0.02222222222222223,3
zero_shot_clap,0.0,2,3,0.8803174603174604,0.82,0.03333333333333334,3
zero_shot_clap,0.0,3,3,0.8978273809523809,0.8275,0.047222222222222214,2
zero_shot_clap,0.0,4,3,0.9013680555555557,0.8375,0.03333333333333331,2
zero_shot_clap,0.0,5,3,0.8904821428571429,0.8275,0.044444444444444446,2
