method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,0,0.7752569444444445,0.8475,0.15833333333333335,2
mgc_only,4.0,2,0,0.7726636904761904,0.84,0.1722222222222222,2
mgc_only,4.0,3,0,0.7712718253968254,0.815,0.2,2
mgc_only,4.0,4,0,0.7731289682539683,0.8425,0.16111111111111112,2
mgc_only,4.0,5,0,0.7819404761904761,0.765,0.2444444444444444,1
mgp_mgc,4.0,1,0,0.9582162698412697,0.94,0.055555555555555546,2
mgp_mgc,4.0,2,0,0.9673938492063492,0.965,0.030555555555555544,2
mgp_mgc,4.0,3,0,0.9679632936507936,0.9125,0.09444444444444444,2
mgp_mgc,4.0,4,0,0.9586607142857144,0.9625,0.033333333333333326,2
mgp_mgc,4.0,5,0,0.9761875,0.9625,0.027777777777777776,1
mgp_only,0.0,1,0,0.900235119047619,0.91,0.09166666666666667,2
mgp_only,0.0,2,0,0.922939484126984,0.915,0.08611111111111108,2
mgp_only,0.0,3,0,0.9111656746031747,0.9025,0.10277777777777779,2
mgp_only,0.0,4,0,0.9095000000000001,0.9175,0.07777777777777778,2
mgp_only,0.0,5,0,0.9762867063492063,0.9225,0.0611111111111111,1
naive_adapter,0.0,1,0,0.7313908730158729,0.81,0.20277777777777778,2
naive_adapter,0.0,2,0,0.7410694444444444,0.8025,0.2138888888888889,2
naive_adapter,0.0,3,0,0.7655406746031747,0.775,0.24722222222222218,2
naive_adapter,0.0,4,0,0.7602440476190476,0.8225,0.18333333333333332,2
naive_adapter,0.0,5,0,0.7386378968253968,0.7675,0.24166666666666664,1
zero_shot_clap,0.0,1,0,0.9376755952380952,0.94,0.013888888888888876,2
zero_shot_clap,0.0,2,0,0.9766240079365079,0.965,0.011111111111111108,2
zero_shot_clap,0.0,3,0,0.9571240079365078,0.9325,0.030555555555555544,2
zero_shot_clap,0.0,4,0,0.9472083333333334,0.9475,0.008333333333333328,2
zero_shot_clap,0.0,5,0,0.9605277777777778,0.9325,0.024999999999999984,1
