method,beta,fold,seed,task_id,seen_classes,accuracy,pos_mean,neg_mean,gap_distance
mgc_only,2.0,1,0,4,20,0.6875,0.39795684814453125,0.029106615111231804,0.7900128418386346
mgc_only,2.0,1,0,5,25,0.85,0.4088979959487915,0.019550777971744537,0.7623047055166985
mgc_only,2.0,1,0,6,30,0.6541666666666667,0.3669377267360687,0.014895377680659294,0.8159066479414775
mgc_only,2.0,1,0,7,35,0.7642857142857142,0.3338013291358948,-0.03956446051597595,0.8338507874108673
mgc_only,2.0,1,0,8,40,0.790625,0.38642650842666626,0.013833971694111824,0.7558420228772538
mgc_only,2.0,1,0,9,45,0.7805555555555556,0.3871364891529083,0.018745332956314087,0.7517426647902764
mgc_only,2.0,1,0,10,50,0.71,0.3572063148021698,-0.006914624013006687,0.8139401590013781
mgc_only,4.0,1,0,1,5,1.0,0.5014230608940125,0.05268657207489014,0.7151579691915333
mgc_only,4.0,1,0,2,10,0.8875,0.3387719988822937,-0.04135647416114807,0.8554001364100229
mgc_only,4.0,1,0,3,15,0.7166666666666667,0.35774412751197815,-0.003221784718334675,0.8515051215378785
mgc_only,4.0,1,0,4,20,0.68125,0.39720574021339417,0.029605476185679436,0.796324672269357
mgc_only,4.0,1,0,5,25,0.865,0.406646728515625,0.017790475860238075,0.7673143160409801
mgc_only,4.0,1,0,6,30,0.6208333333333333,0.3647306561470032,0.015978168696165085,0.8225448598604678
mgc_only,4.0,1,0,7,35,0.7821428571428571,0.35366740822792053,-0.023417849093675613,0.7992264942427783
mgc_only,4.0,1,0,8,40,0.80625,0.3962804675102234,0.01864686794579029,0.7435596245728406
mgc_only,4.0,1,0,9,45,0.7694444444444445,0.3901176452636719,0.02240755781531334,0.7536981652986069
mgc_only,4.0,1,0,10,50,0.7475,0.3643154203891754,-0.00567595986649394,0.813914397997727
mgc_only,8.0,1,0,1,5,1.0,0.5139237642288208,0.05625877529382706,0.712114301877847
mgc_only,8.0,1,0,2,10,0.8625,0.3310435116291046,-0.05020800232887268,0.8710125120275465
mgc_only,8.0,1,0,3,15,0.6833333333333333,0.35924819111824036,-0.00226311176083982,0.853414835951246
mgc_only,8.0,1,0,4,20,0.675,0.4015389382839203,0.033709362149238586,0.7912167783677544
mgc_only,8.0,1,0,5,25,0.86,0.4130553901195526,0.02288242056965828,0.7573468558354487
mgc_only,8.0,1,0,6,30,0.6208333333333333,0.3674162030220032,0.017108656466007233,0.8134202720527018
mgc_only,8.0,1,0,7,35,0.7857142857142857,0.35435354709625244,-0.021276388317346573,0.8047181044847255
mgc_only,8.0,1,0,8,40,0.79375,0.39359238743782043,0.022440411150455475,0.7502237651629752
mgc_only,8.0,1,0,9,45,0.8083333333333333,0.393355131149292,0.026343494653701782,0.7416121014049354
mgc_only,8.0,1,0,10,50,0.7625,0.3664841949939728,-0.0025826513301581144,0.8000535199595245
mgp_mgc,0.0,1,0,1,5,0.975,0.4840402603149414,0.1966797411441803,0.7231469008617759
mgp_mgc,0.0,1,0,2,10,0.775,0.4178633689880371,0.11429818719625473,0.7856317319844192
mgp_mgc,0.0,1,0,3,15,0.7583333333333333,0.39741039276123047,0.07544182986021042,0.7718233331940685
mgp_mgc,0.0,1,0,4,20,0.7625,0.4028640687465668,0.0628066286444664,0.7522671167525907
mgp_mgc,0.0,1,0,5,25,0.825,0.4051187038421631,0.051184818148612976,0.7309478619934878
mgp_mgc,0.0,1,0,6,30,0.775,0.38346728682518005,0.042264584451913834,0.7630982895888966
mgp_mgc,0.0,1,0,7,35,0.8178571428571428,0.35974758863449097,-0.0026423209346830845,0.7811257467868965
mgp_mgc,0.0,1,0,8,40,0.85,0.4040297567844391,0.03801824152469635,0.7159342568270212
mgp_mgc,0.0,1,0,9,45,0.8555555555555555,0.41151535511016846,0.03698517009615898,0.6947229201338888
mgp_mgc,0.0,1,0,10,50,0.815,0.3923470377922058,0.029452722519636154,0.7538215303673149
mgp_mgc,1.0,1,0,1,5,1.0,0.4831421971321106,0.195111945271492,0.7235322124029553
mgp_mgc,1.0,1,0,2,10,0.9625,0.4177114963531494,0.11308901011943817,0.787861809369778
mgp_mgc,1.0,1,0,3,15,0.9166666666666666,0.40076664090156555,0.08020644634962082,0.7673974414672682
mgp_mgc,1.0,1,0,4,20,0.9125,0.40651416778564453,0.06496065855026245,0.7477631112910904
mgp_mgc,1.0,1,0,5,25,0.94,0.40865981578826904,0.05332845449447632,0.7260124999918397
mgp_mgc,1.0,1,0,6,30,0.9,0.3881906270980835,0.04405840113759041,0.7556909848846642
mgp_mgc,1.0,1,0,7,35,0.9214285714285714,0.36665618419647217,0.0007552002789452672,0.7664612575829736
mgp_mgc,1.0,1,0,8,40,0.95625,0.4095229506492615,0.04024449735879898,0.7058234250526578
mgp_mgc,1.0,1,0,9,45,0.9416666666666667,0.4130646884441376,0.03626759350299835,0.6921885469665197
mgp_mgc,1.0,1,0,10,50,0.91,0.39668601751327515,0.02914019301533699,0.7448037915161735
mgp_mgc,2.0,1,0,1,5,1.0,0.4828750193119049,0.19598782062530518,0.7216440730243666
mgp_mgc,2.0,1,0,2,10,0.9875,0.4192078709602356,0.11419957131147385,0.7800937932227393
mgp_mgc,2.0,1,0,3,15,0.9083333333333333,0.3966556787490845,0.07644333690404892,0.7703086284500249
mgp_mgc,2.0,1,0,4,20,0.9375,0.4030318260192871,0.06346017867326736,0.7508270179098219
mgp_mgc,2.0,1,0,5,25,0.945,0.4065403640270233,0.05314407870173454,0.7270270238200838
mgp_mgc,2.0,1,0,6,30,0.9041666666666667,0.3847818374633789,0.045141056180000305,0.7623582753292031
mgp_mgc,2.0,1,0,7,35,0.9285714285714286,0.36575794219970703,0.004177022259682417,0.7718005120267551
mgp_mgc,2.0,1,0,8,40,0.95625,0.4057362675666809,0.03951488807797432,0.7112462014591787
mgp_mgc,2.0,1,0,9,45,0.9472222222222222,0.4102237820625305,0.03541014343500137,0.6936727797364891
mgp_mgc,2.0,1,0,10,50,0.9225,0.39383918046951294,0.02925766073167324,0.7477356633160867
mgp_mgc,4.0,1,0,1,5,1.0,0.48124057054519653,0.19290265440940857,0.7230315186954893
mgp_mgc,4.0,1,0,2,10,0.9875,0.41246023774147034,0.10719816386699677,0.7891269258138489
mgp_mgc,4.0,1,0,3,15,0.9416666666666667,0.39468786120414734,0.07353191077709198,0.7746135893479589
mgp_mgc,4.0,1,0,4,20,0.9375,0.4012448787689209,0.06054826080799103,0.7517473094403955
mgp_mgc,4.0,1,0,5,25,0.955,0.4062219560146332,0.05210128426551819,0.7284791709779946
mgp_mgc,4.0,1,0,6,30,0.9,0.38342735171318054,0.04349438101053238,0.7659194116603186
mgp_mgc,4.0,1,0,7,35,0.9392857142857143,0.3603966534137726,-0.00031212277826853096,0.7815922204870195
mgp_mgc,4.0,1,0,8,40,0.95625,0.40499791502952576,0.03930053487420082,0.7138888838767786
