fold,seed,epoch,neg_mean,pos_mean,drift,gap_distance,selected
1,0,0,0.21424517035484314,0.45088285207748413,0.0,0.7606626671509561,False
1,0,1,0.21551227569580078,0.4558731019496918,0.0059142772686964235,0.7542330190763005,False
1,0,2,0.2189563810825348,0.4752051830291748,0.021989810644920102,0.7311760417695914,False
1,0,3,0.20654523372650146,0.48869961500167847,0.035939837596285926,0.7194980757080296,False
1,0,4,0.18936464190483093,0.4887419641017914,0.11613110535375841,0.717368635369012,False
1,0,5,0.16759589314460754,0.4987642168998718,0.21773782406843908,0.7061130938551861,True
1,0,6,0.1478225290775299,0.5062427520751953,0.31003098537671053,0.6996904907294822,False
2,0,0,0.21315760910511017,0.4491561949253082,0.0,0.7586847247409749,False
2,0,1,0.21449747681617737,0.4541017413139343,0.006285807561326593,0.752509734361536,False
2,0,2,0.21809068322181702,0.4739639163017273,0.02314284785524264,0.7284329153462461,False
2,0,3,0.2038961946964264,0.4859984517097473,0.043448669027418486,0.7181554267743974,False
2,0,4,0.1888088881969452,0.4869353175163269,0.11422872029005719,0.7117759957292669,False
2,0,5,0.16668176651000977,0.4944290220737457,0.21803510928001962,0.7033037269558724,False
2,0,6,0.15096697211265564,0.5047786831855774,0.2917589348724009,0.6957886575777954,True
2,0,7,0.1283300369977951,0.5104601979255676,0.3979570443834624,0.6912403140953826,False
3,0,0,0.21706321835517883,0.44964972138404846,0.0,0.7570029761968255,False
3,0,1,0.21794196963310242,0.45402997732162476,0.004048365653943683,0.7512127096136709,False
3,0,2,0.22157065570354462,0.47312626242637634,0.020765551080101925,0.727403953212654,False
3,0,3,0.2100374400615692,0.48447903990745544,0.032367428930835225,0.7183267968589716,False
3,0,4,0.18728891015052795,0.4898870587348938,0.1371688323349717,0.7066003180816033,False
3,0,5,0.16244548559188843,0.5013699531555176,0.25162131648633274,0.696103029914504,True
3,0,6,0.14364087581634521,0.5075840950012207,0.3382532660079388,0.6941493443661066,False
4,0,0,0.21166324615478516,0.45102658867836,0.0,0.7608869466302792,False
4,0,1,0.21268543601036072,0.45571064949035645,0.0048293214535132575,0.7549200729117806,False
4,0,2,0.21444416046142578,0.4732157588005066,0.013138390141701773,0.7331928456629883,False
4,0,3,0.20049233734607697,0.48578041791915894,0.05277679999549438,0.7227351164011023,False
4,0,4,0.18479859828948975,0.4903413653373718,0.12692164725495056,0.7118250126139202,False
4,0,5,0.1589985191822052,0.5018552541732788,0.24881375453378088,0.7027855568871046,True
4,0,6,0.14799055457115173,0.5131326913833618,0.3008207269819099,0.6982669592700186,False
5,0,0,0.20478256046772003,0.4501015543937683,0.0,0.7647677740896436,False
5,0,1,0.20506234467029572,0.45421209931373596,0.0013662501432576144,0.7596985739788767,False
5,0,2,0.20689252018928528,0.47314557433128357,0.010303415079614851,0.7367792033996423,False
5,0,3,0.1949753761291504,0.4878206253051758,0.04789072036295567,0.7245376272977231,False
5,0,4,0.17686913907527924,0.4940165877342224,0.13630761002639577,0.715066249271724,False
5,0,5,0.15656796097755432,0.5032926797866821,0.23544289796965304,0.7066881828484636,True
5,0,6,0.134871244430542,0.5115739107131958,0.3413929187988554,0.7010144971753123,False
