method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,0,0.7961150793650793,0.7275,0.2916666666666667,4
mgc_only,4.0,2,0,0.7619305555555554,0.7075,0.3138888888888889,5
mgc_only,4.0,3,0,0.799592261904762,0.74,0.2777777777777778,4
mgc_only,4.0,4,0,0.7919593253968253,0.755,0.25555555555555554,5
mgc_only,4.0,5,0,0.7486597222222222,0.6875,0.3333333333333333,4
mgp_mgc,4.0,1,0,0.9505982142857142,0.925,0.06666666666666665,4
mgp_mgc,4.0,2,0,0.9327867063492065,0.8975,0.10833333333333334,5
mgp_mgc,4.0,3,0,0.9693650793650793,0.93,0.06944444444444445,4
mgp_mgc,4.0,4,0,0.9359960317460316,0.8725,0.11666666666666664,5
mgp_mgc,4.0,5,0,0.9375158730158729,0.895,0.09722222222222222,4
mgp_only,0.0,1,0,0.8241468253968254,0.8325,0.1611111111111111,4
mgp_only,0.0,2,0,0.8029632936507936,0.7775,0.2222222222222222,5
mgp_only,0.0,3,0,0.8548998015873016,0.835,0.15555555555555556,4
mgp_only,0.0,4,0,0.8358184523809523,0.78,0.21666666666666665,5
mgp_only,0.0,5,0,0.8189037698412699,0.805,0.17222222222222225,4
naive_adapter,0.0,1,0,0.7286369047619048,0.6475,0.38055555555555554,4
naive_adapter,0.0,2,0,0.6993650793650794,0.57,0.4722222222222222,5
naive_adapter,0.0,3,0,0.7408918650793652,0.6375,0.38888888888888884,4
naive_adapter,0.0,4,0,0.7409950396825398,0.6675,0.3527777777777778,5
naive_adapter,0.0,5,0,0.7102152777777777,0.605,0.42500000000000004,4
zero_shot_clap,0.0,1,0,0.8186755952380953,0.8425,0.038888888888888896,4
zero_shot_clap,0.0,2,0,0.818357142857143,0.82,0.055555555555555566,5
zero_shot_clap,0.0,3,0,0.8196646825396826,0.8275,0.04722222222222223,4
zero_shot_clap,0.0,4,0,0.8093541666666665,0.8375,0.030555555555555544,5
zero_shot_clap,0.0,5,0,0.8217361111111112,0.8275,0.049999999999999996,4
