method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,0,0.7357162698412698,0.71,0.3055555555555556,3
mgc_only,4.0,2,0,0.7179692460317461,0.655,0.375,3
mgc_only,4.0,3,0,0.7444801587301587,0.6675,0.35555555555555557,3
mgc_only,4.0,4,0,0.7319732142857143,0.68,0.33888888888888885,3
mgc_only,4.0,5,0,0.700969246031746,0.635,0.39722222222222225,3
mgp_mgc,4.0,1,0,0.9464841269841271,0.925,0.06666666666666665,3
mgp_mgc,4.0,2,0,0.9653591269841272,0.925,0.07500000000000001,3
mgp_mgc,4.0,3,0,0.9685337301587301,0.92,0.08055555555555556,3
mgp_mgc,4.0,4,0,0.9548353174603175,0.9075,0.07777777777777778,3
mgp_mgc,4.0,5,0,0.929765873015873,0.8825,0.11111111111111113,3
mgp_only,0.0,1,0,0.8229384920634921,0.8325,0.1611111111111111,3
mgp_only,0.0,2,0,0.81609623015873,0.7825,0.21388888888888888,3
mgp_only,0.0,3,0,0.8440823412698413,0.83,0.15833333333333333,3
mgp_only,0.0,4,0,0.8416775793650793,0.8025,0.18611111111111112,3
mgp_only,0.0,5,0,0.8195942460317459,0.815,0.1638888888888889,3
naive_adapter,0.0,1,0,0.6787123015873017,0.5925,0.4388888888888889,3
naive_adapter,0.0,2,0,0.6729801587301587,0.5375,0.5027777777777778,3
naive_adapter,0.0,3,0,0.7150456349206349,0.6225,0.4138888888888889,3
naive_adapter,0.0,4,0,0.6902063492063492,0.6425,0.38055555555555554,3
naive_adapter,0.0,5,0,0.6771448412698412,0.545,0.5,3
zero_shot_clap,0.0,1,0,0.8186755952380953,0.8425,0.038888888888888896,3
zero_shot_clap,0.0,2,0,0.818357142857143,0.82,0.055555555555555566,3
zero_shot_clap,0.0,3,0,0.8196646825396826,0.8275,0.04722222222222223,3
zero_shot_clap,0.0,4,0,0.8093541666666665,0.8375,0.030555555555555544,3
zero_shot_clap,0.0,5,0,0.8217361111111112,0.8275,0.049999999999999996,3
