fold,seed,epoch,neg_mean,pos_mean,drift,gap_distance,selected
1,0,0,0.21424517035484314,0.45088285207748413,0.0,0.7606626671509561,False
1,0,1,0.21551227569580078,0.4558731019496918,0.0059142772686964235,0.7542330190763005,False
1,0,2,0.2189563810825348,0.4752051830291748,0.021989810644920102,0.7311760417695914,False
1,0,3,0.20654523372650146,0.48869961500167847,0.035939837596285926,0.7194980757080296,True
1,0,4,0.18936464190483093,0.4887419641017914,0.11613110535375841,0.717368635369012,False
2,0,0,0.21315760910511017,0.4491561949253082,0.0,0.7586847247409749,False
2,0,1,0.21447834372520447,0.4540655016899109,0.00619604726117486,0.7524558732338693,False
2,0,2,0.21788696944713593,0.47342556715011597,0.022187152323019637,0.72919178871715,False
2,0,3,0.20417478680610657,0.484882652759552,0.042141691946704474,0.7205607065628412,True
2,0,4,0.18357406556606293,0.4877731204032898,0.13878718035563675,0.7113738774449966,False
3,0,0,0.21706321835517883,0.44964972138404846,0.0,0.7570029761968255,False
3,0,1,0.21806445717811584,0.4543825685977936,0.004612659991517736,0.750798737112205,False
3,0,2,0.22108058631420135,0.4733905792236328,0.018507824538236295,0.7271950043334876,False
3,0,3,0.21100902557373047,0.48620811104774475,0.027891380342209504,0.7162814567593276,True
3,0,4,0.19214949011802673,0.49345308542251587,0.11477636987942362,0.7057924682960788,False
4,0,0,0.21166324615478516,0.45102658867836,0.0,0.7608869466302792,False
4,0,1,0.21254949271678925,0.4554230570793152,0.0041870592939692265,0.7549022628334976,False
4,0,2,0.2150537073612213,0.47354355454444885,0.01601818581180022,0.7327539372646686,False
4,0,3,0.2026873528957367,0.4858333468437195,0.04240648020906081,0.7222877692174734,True
4,0,4,0.18833136558532715,0.4900735318660736,0.1102311383450855,0.714805573205361,False
5,0,0,0.20478256046772003,0.4501015543937683,0.0,0.7647677740896436,False
5,0,1,0.2051883488893509,0.45418447256088257,0.0019815575149761057,0.7593546338880938,False
5,0,2,0.20679321885108948,0.47264784574508667,0.009818503972101603,0.7364356954814075,False
5,0,3,0.19490735232830048,0.4873518943786621,0.048222896114125835,0.7245379088372704,True
5,0,4,0.17621469497680664,0.4913267493247986,0.13950340998601077,0.7133828992749236,False
