fold,seed,epoch,neg_mean,pos_mean,drift,gap_distance,selected
1,0,0,0.2429477721452713,0.5324411988258362,0.0,0.7357380832229745,False
1,0,1,0.24022765457630157,0.5333229899406433,0.011196305876570148,0.7335662734247161,False
1,0,2,0.22275295853614807,0.5341774225234985,0.08312409465952084,0.7236939605897821,True
1,0,3,0.18588075041770935,0.5307097434997559,0.23489419649190513,0.7098199299275348,False
2,0,0,0.2471528947353363,0.5329983234405518,0.0,0.7275972110309562,False
2,0,1,0.2445264607667923,0.5339900255203247,0.010626757867256717,0.7251641136632709,False
2,0,2,0.22586750984191895,0.5335608720779419,0.08612233701009578,0.7151708287992423,True
2,0,3,0.18847164511680603,0.5282332301139832,0.2374289392053008,0.7012806041575335,False
3,0,0,0.2475365698337555,0.5315191149711609,0.0,0.7307259440254122,False
3,0,1,0.24520961940288544,0.532405436038971,0.009400430944134138,0.728409971812676,False
3,0,2,0.22787705063819885,0.5331745743751526,0.07942066583842497,0.7166836859384419,True
3,0,3,0.19408798217773438,0.5292395353317261,0.21592198555517256,0.7035420281193355,False
4,0,0,0.2455640584230423,0.5336025953292847,0.0,0.7335395310168317,False
4,0,1,0.24214231967926025,0.533913254737854,0.013934200166570335,0.7315847483193773,True
4,0,2,0.22055408358573914,0.5314264893531799,0.1018470495963931,0.7225385260541652,False
5,0,0,0.2433655709028244,0.5346482992172241,0.0,0.7344855203970205,False
5,0,1,0.2405378371477127,0.5356370210647583,0.011619284291617425,0.7325805487492842,False
5,0,2,0.2206648290157318,0.5361628532409668,0.09327836227153499,0.7227211314926447,True
5,0,3,0.18190570175647736,0.5312176942825317,0.2525413472347241,0.7103391961936781,False
