method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,0.0,1,0,0.749640873015873,0.8225,0.1861111111111111,2
mgc_only,0.0,2,0,0.7455972222222221,0.795,0.2222222222222222,2
mgc_only,0.0,3,0,0.7583849206349206,0.7825,0.23888888888888887,2
mgc_only,0.0,4,0,0.7581855158730159,0.7925,0.21666666666666667,1
mgc_only,0.0,5,0,0.7451220238095239,0.7575,0.2527777777777778,2
mgc_only,1.0,1,0,0.7723452380952381,0.825,0.18611111111111112,2
mgc_only,1.0,2,0,0.7735337301587302,0.8475,0.16388888888888886,2
mgc_only,1.0,3,0,0.7939652777777778,0.86,0.1527777777777778,2
mgc_only,1.0,4,0,0.7789682539682541,0.835,0.16944444444444445,1
mgc_only,1.0,5,0,0.7653184523809524,0.82,0.18055555555555552,2
mgc_only,2.0,1,0,0.7631726190476191,0.8175,0.19166666666666665,2
mgc_only,2.0,2,0,0.7604821428571429,0.8075,0.2083333333333333,2
mgc_only,2.0,3,0,0.7785535714285714,0.8325,0.18333333333333332,2
mgc_only,2.0,4,0,0.7870902777777777,0.8325,0.17222222222222222,1
mgc_only,2.0,5,0,0.7638005952380953,0.785,0.2222222222222222,2
mgc_only,4.0,1,0,0.7606438492063492,0.825,0.1861111111111111,2
mgc_only,4.0,2,0,0.7792142857142856,0.8175,0.19722222222222222,2
mgc_only,4.0,3,0,0.788656746031746,0.8275,0.1888888888888889,2
mgc_only,4.0,4,0,0.78740873015873,0.81,0.19722222222222227,1
mgc_only,4.0,5,0,0.7662857142857142,0.82,0.1805555555555555,2
mgc_only,8.0,1,0,0.7702242063492063,0.835,0.17222222222222222,2
mgc_only,8.0,2,0,0.767641865079365,0.825,0.1888888888888889,2
mgc_only,8.0,3,0,0.7937628968253969,0.82,0.19444444444444445,2
mgc_only,8.0,4,0,0.7810238095238095,0.8225,0.18333333333333332,1
mgc_only,8.0,5,0,0.761157738095238,0.795,0.2083333333333333,2
mgp_mgc,0.0,1,0,0.8962599206349205,0.9025,0.1,2
mgp_mgc,0.0,2,0,0.9254265873015873,0.905,0.09722222222222222,2
mgp_mgc,0.0,3,0,0.9106855158730159,0.89,0.11388888888888887,2
mgp_mgc,0.0,4,0,0.9523730158730158,0.945,0.04722222222222224,1
mgp_mgc,0.0,5,0,0.9274325396825397,0.8875,0.10833333333333334,2
mgp_mgc,1.0,1,0,0.9478521825396825,0.9225,0.07500000000000001,2
mgp_mgc,1.0,2,0,0.9598184523809523,0.95,0.04722222222222223,2
mgp_mgc,1.0,3,0,0.9628125000000001,0.8975,0.1111111111111111,2
mgp_mgc,1.0,4,0,0.985422619047619,0.9775,0.013888888888888888,1
mgp_mgc,1.0,5,0,0.9611140873015872,0.9325,0.06388888888888888,2
mgp_mgc,2.0,1,0,0.9525079365079365,0.9275,0.06944444444444445,2
mgp_mgc,2.0,2,0,0.9728611111111111,0.96,0.03611111111111111,2
mgp_mgc,2.0,3,0,0.9659900793650793,0.895,0.11388888888888887,2
mgp_mgc,2.0,4,0,0.9875882936507937,0.975,0.019444444444444448,1
mgp_mgc,2.0,5,0,0.9656944444444443,0.94,0.05555555555555555,2
mgp_mgc,4.0,1,0,0.9609315476190476,0.9475,0.04722222222222223,2
mgp_mgc,4.0,2,0,0.9690555555555557,0.9525,0.04444444444444443,2
mgp_mgc,4.0,3,0,0.9605793650793653,0.925,0.08055555555555555,2
mgp_mgc,4.0,4,0,0.987282738095238,0.9775,0.01666666666666668,1
mgp_mgc,4.0,5,0,0.9658611111111111,0.9375,0.058333333333333334,2
mgp_mgc,8.0,1,0,0.9581617063492063,0.94,0.05555555555555555,2
mgp_mgc,8.0,2,0,0.9695069444444444,0.9525,0.04444444444444443,2
mgp_mgc,8.0,3,0,0.9664623015873015,0.9275,0.07777777777777778,2
mgp_mgc,8.0,4,0,0.9884980158730159,0.9775,0.01666666666666668,1
mgp_mgc,8.0,5,0,0.9639613095238095,0.9475,0.044444444444444446,2
mgp_only,0.0,1,0,0.900235119047619,0.91,0.09166666666666667,2
mgp_only,0.0,2,0,0.9215763888888888,0.9075,0.09444444444444444,2
mgp_only,0.0,3,0,0.9102242063492063,0.8775,0.13055555555555554,2
mgp_only,0.0,4,0,0.9683968253968253,0.94,0.052777777777777785,1
mgp_only,0.0,5,0,0.9255188492063493,0.8975,0.09722222222222222,2
naive_adapter,0.0,1,0,0.7313908730158729,0.81,0.20277777777777778,2
naive_adapter,0.0,2,0,0.7535188492063492,0.765,0.25555555555555554,2
naive_adapter,0.0,3,0,0.7715654761904762,0.81,0.20833333333333334,2
naive_adapter,0.0,4,0,0.7488273809523809,0.7975,0.2111111111111111,1
naive_adapter,0.0,5,0,0.7417519841269841,0.765,0.2444444444444444,2
zero_shot_clap,0.0,1,0,0.9376755952380952,0.94,0.013888888888888876,2
zero_shot_clap,0.0,2,0,0.9766240079365079,0.965,0.011111111111111108,2
zero_shot_clap,0.0,3,0,0.9571240079365078,0.9325,0.030555555555555544,2
zero_shot_clap,0.0,4,0,0.9472083333333334,0.9475,0.008333333333333328,1
zero_shot_clap,0.0,5,0,0.9605277777777778,0.9325,0.024999999999999984,2
