method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,0,0.7860793650793652,0.78,0.22777777777777775,6
mgc_only,4.0,2,0,0.7567896825396825,0.6975,0.3277777777777778,6
mgc_only,4.0,3,0,0.7986875000000001,0.775,0.24444444444444446,6
mgc_only,4.0,4,0,0.7919285714285714,0.7675,0.24166666666666664,6
mgc_only,4.0,5,0,0.7502668650793651,0.6925,0.3222222222222222,6
mgp_mgc,4.0,1,0,0.8930079365079365,0.83,0.17222222222222222,6
mgp_mgc,4.0,2,0,0.8935248015873014,0.825,0.18333333333333332,6
mgp_mgc,4.0,3,0,0.9247539682539683,0.8825,0.125,6
mgp_mgc,4.0,4,0,0.91315376984127,0.8525,0.14166666666666672,6
mgp_mgc,4.0,5,0,0.8911765873015873,0.8475,0.1527777777777778,6
mgp_only,0.0,1,0,0.8020029761904762,0.775,0.2277777777777778,6
mgp_only,0.0,2,0,0.7977906746031745,0.7575,0.24444444444444446,6
mgp_only,0.0,3,0,0.8259801587301588,0.8,0.19722222222222222,6
mgp_only,0.0,4,0,0.8277142857142856,0.7725,0.22777777777777775,6
mgp_only,0.0,5,0,0.8043789682539682,0.785,0.19999999999999998,6
naive_adapter,0.0,1,0,0.7368075396825396,0.635,0.3972222222222222,6
naive_adapter,0.0,2,0,0.7017043650793651,0.575,0.46388888888888885,6
naive_adapter,0.0,3,0,0.7369017857142857,0.68,0.3444444444444444,6
naive_adapter,0.0,4,0,0.7448680555555555,0.675,0.34444444444444444,6
naive_adapter,0.0,5,0,0.7058551587301587,0.6075,0.425,6
zero_shot_clap,0.0,1,0,0.8186755952380953,0.8425,0.038888888888888896,6
zero_shot_clap,0.0,2,0,0.818357142857143,0.82,0.055555555555555566,6
zero_shot_clap,0.0,3,0,0.8196646825396826,0.8275,0.04722222222222223,6
zero_shot_clap,0.0,4,0,0.8093541666666665,0.8375,0.030555555555555544,6
zero_shot_clap,0.0,5,0,0.8217361111111112,0.8275,0.049999999999999996,6
