method,beta,fold,seed,task_id,seen_classes,accuracy,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,2,1,5,0.975,0.4969100058078766,0.12311837822198868,0.7086805571701351
zero_shot_clap,0.0,1,2,2,10,0.9875,0.5133554339408875,0.1051781103014946,0.6862950456674721
zero_shot_clap,0.0,1,2,3,15,0.9916666666666667,0.5338519215583801,0.12489168345928192,0.659948822643261
zero_shot_clap,0.0,1,2,4,20,0.99375,0.5229099988937378,0.11539589613676071,0.6601127478914459
zero_shot_clap,0.0,1,2,5,25,0.99,0.5275447964668274,0.1325160712003708,0.6472634009591677
zero_shot_clap,0.0,1,2,6,30,0.9708333333333333,0.5209012627601624,0.12529923021793365,0.651333195609141
zero_shot_clap,0.0,1,2,7,35,0.9678571428571429,0.5189948081970215,0.12057212740182877,0.6479086109969123
zero_shot_clap,0.0,1,2,8,40,0.9625,0.5185689926147461,0.12067487835884094,0.6463761645996461
zero_shot_clap,0.0,1,2,9,45,0.9611111111111111,0.5177258253097534,0.1198277473449707,0.6475760880872736
zero_shot_clap,0.0,1,2,10,50,0.94,0.5197070240974426,0.12190169095993042,0.6444655921001089
naive_adapter,0.0,1,2,1,5,1.0,0.5860112905502319,-0.06253526359796524,0.6715938894608839
naive_adapter,0.0,1,2,2,10,0.975,0.5194987058639526,-0.042854294180870056,0.6953903162680498
naive_adapter,0.0,1,2,3,15,0.9666666666666667,0.46828243136405945,-0.04991711303591728,0.7549634614999872
naive_adapter,0.0,1,2,4,20,0.89375,0.47062596678733826,-0.018552834168076515,0.7430817554149022
naive_adapter,0.0,1,2,5,25,0.905,0.4670010507106781,-0.007344978861510754,0.7282276685420981
naive_adapter,0.0,1,2,6,30,0.75,0.4390755891799927,-0.002669234061613679,0.7644690592497791
naive_adapter,0.0,1,2,7,35,0.8464285714285714,0.4177587330341339,-0.02921457774937153,0.7817167382987948
naive_adapter,0.0,1,2,8,40,0.81875,0.4451630711555481,-0.0019435491412878036,0.7262536933562459
naive_adapter,0.0,1,2,9,45,0.8027777777777778,0.45399272441864014,0.01099666953086853,0.7303762422068142
naive_adapter,0.0,1,2,10,50,0.77,0.40649428963661194,-0.020054085180163383,0.7705218518392529
mgp_only,0.0,1,2,1,5,1.0,0.5059959292411804,0.11162801831960678,0.6981391178761538
mgp_only,0.0,1,2,2,10,0.9875,0.5037801861763,0.05768924206495285,0.6700713028060105
mgp_only,0.0,1,2,3,15,0.9916666666666667,0.5033175945281982,0.0488441027700901,0.6551981576156795
mgp_only,0.0,1,2,4,20,0.975,0.46309155225753784,0.01915973611176014,0.707134454711685
mgp_only,0.0,1,2,5,25,0.97,0.48452216386795044,0.04547758027911186,0.6560619294457741
mgp_only,0.0,1,2,6,30,0.9791666666666666,0.44428741931915283,0.01264129113405943,0.7193431375950435
mgp_only,0.0,1,2,7,35,0.9821428571428571,0.46834802627563477,0.023533420637249947,0.6661940499524998
mgp_only,0.0,1,2,8,40,0.96875,0.4875515103340149,0.044160619378089905,0.6386091792470002
mgp_only,0.0,1,2,9,45,0.9694444444444444,0.4718887209892273,0.028239548206329346,0.6639491378077504
mgp_only,0.0,1,2,10,50,0.9475,0.4530026912689209,0.014876967296004295,0.6961713233188769
mgc_only,4.0,1,2,1,5,1.0,0.6021419763565063,-0.04549708962440491,0.6617044110817301
mgc_only,4.0,1,2,2,10,0.975,0.5164996385574341,-0.04376820847392082,0.6961700551735419
mgc_only,4.0,1,2,3,15,0.9833333333333333,0.46670296788215637,-0.04973670095205307,0.7566114493277434
mgc_only,4.0,1,2,4,20,0.9,0.46560534834861755,-0.022798728197813034,0.74655487982224
mgc_only,4.0,1,2,5,25,0.955,0.4763626754283905,-0.0033136860001832247,0.7133159730683636
mgc_only,4.0,1,2,6,30,0.6875,0.43845415115356445,-0.0006587520474568009,0.7656587236977644
mgc_only,4.0,1,2,7,35,0.8214285714285714,0.4047614634037018,-0.035705193877220154,0.7980002420432017
mgc_only,4.0,1,2,8,40,0.83125,0.43737107515335083,-0.006623667199164629,0.7297752161547791
mgc_only,4.0,1,2,9,45,0.75,0.44387105107307434,0.004485208075493574,0.739819432821449
mgc_only,4.0,1,2,10,50,0.79,0.3997933566570282,-0.022138336673378944,0.7800201342174055
mgp_mgc,4.0,1,2,1,5,1.0,0.5064014792442322,0.11403337866067886,0.7001716895338606
mgp_mgc,4.0,1,2,2,10,1.0,0.5090090036392212,0.06476543098688126,0.6673421083052634
mgp_mgc,4.0,1,2,3,15,1.0,0.5113484859466553,0.057045768946409225,0.6465054269460518
mgp_mgc,4.0,1,2,4,20,0.99375,0.4613514840602875,0.019333790987730026,0.7124631167467186
mgp_mgc,4.0,1,2,5,25,0.99,0.4878285229206085,0.048667002469301224,0.6514953764288806
mgp_mgc,4.0,1,2,6,30,0.9625,0.4369353652000427,0.009030980058014393,0.735891087570812
mgp_mgc,4.0,1,2,7,35,0.9821428571428571,0.4664016664028168,0.021873541176319122,0.6712073268373664
mgp_mgc,4.0,1,2,8,40,0.98125,0.48953914642333984,0.04560384526848793,0.636565682073157
mgp_mgc,4.0,1,2,9,45,0.9722222222222222,0.4795225262641907,0.033184729516506195,0.6512557013395602
