method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,2,0.8693511904761906,0.79,0.22777777777777775,2
mgc_only,4.0,2,2,0.8689662698412699,0.7675,0.25555555555555554,2
mgc_only,4.0,3,2,0.8767549603174603,0.785,0.23611111111111105,2
mgc_only,4.0,4,2,0.8920396825396827,0.8175,0.20277777777777778,2
mgc_only,4.0,5,2,0.8740595238095239,0.7825,0.23888888888888887,2
mgp_mgc,4.0,1,2,0.9834365079365079,0.9525,0.04444444444444446,2
mgp_mgc,4.0,2,2,0.986452380952381,0.965,0.03333333333333334,2
mgp_mgc,4.0,3,2,0.9784295634920636,0.9375,0.06388888888888888,2
mgp_mgc,4.0,4,2,0.9854414682539684,0.96,0.04166666666666668,2
mgp_mgc,4.0,5,2,0.9717013888888889,0.9375,0.06666666666666668,2
mgp_only,0.0,1,2,0.9771170634920635,0.9475,0.0472222222222222,2
mgp_only,0.0,2,2,0.9727113095238094,0.94,0.049999999999999996,2
mgp_only,0.0,3,2,0.9743184523809523,0.93,0.0638888888888889,2
mgp_only,0.0,4,2,0.9747896825396823,0.95,0.05000000000000001,2
mgp_only,0.0,5,2,0.970376984126984,0.9275,0.08055555555555556,2
naive_adapter,0.0,1,2,0.8728373015873017,0.77,0.24722222222222223,2
naive_adapter,0.0,2,2,0.8744801587301587,0.7875,0.23333333333333328,2
naive_adapter,0.0,3,2,0.8664226190476191,0.7575,0.26666666666666666,2
naive_adapter,0.0,4,2,0.8815079365079365,0.785,0.23888888888888887,2
naive_adapter,0.0,5,2,0.8478541666666667,0.725,0.3027777777777778,2
zero_shot_clap,0.0,1,2,0.9740218253968254,0.94,0.027777777777777776,2
zero_shot_clap,0.0,2,2,0.9872212301587302,0.965,0.011111111111111108,2
zero_shot_clap,0.0,3,2,0.9731190476190476,0.9325,0.044444444444444446,2
zero_shot_clap,0.0,4,2,0.9798402777777777,0.9475,0.030555555555555572,2
zero_shot_clap,0.0,5,2,0.9790257936507935,0.9325,0.05555555555555555,2
