method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,1,0.8343849206349206,0.76,0.2638888888888889,2
mgc_only,4.0,2,1,0.8187757936507938,0.7375,0.2916666666666667,2
mgc_only,4.0,3,1,0.8411805555555555,0.735,0.29444444444444445,3
mgc_only,4.0,4,1,0.859513888888889,0.74,0.2833333333333333,3
mgc_only,4.0,5,1,0.8370684523809523,0.725,0.30277777777777776,3
mgp_mgc,4.0,1,1,0.9631567460317461,0.97,0.027777777777777766,2
mgp_mgc,4.0,2,1,0.9738452380952382,0.96,0.04166666666666668,2
mgp_mgc,4.0,3,1,0.9509821428571428,0.9475,0.04722222222222224,3
mgp_mgc,4.0,4,1,0.9743978174603175,0.955,0.044444444444444446,3
mgp_mgc,4.0,5,1,0.9518799603174605,0.9425,0.061111111111111116,3
mgp_only,0.0,1,1,0.9491249999999999,0.9375,0.06388888888888887,2
mgp_only,0.0,2,1,0.9623303571428572,0.9525,0.05000000000000001,2
mgp_only,0.0,3,1,0.9335069444444445,0.9175,0.07500000000000001,3
mgp_only,0.0,4,1,0.9585664682539681,0.94,0.06111111111111113,3
mgp_only,0.0,5,1,0.926843253968254,0.94,0.052777777777777785,3
naive_adapter,0.0,1,1,0.8344464285714285,0.77,0.2527777777777778,2
naive_adapter,0.0,2,1,0.8234593253968254,0.7375,0.2916666666666667,2
naive_adapter,0.0,3,1,0.8219930555555555,0.7175,0.3138888888888889,3
naive_adapter,0.0,4,1,0.8381091269841271,0.7375,0.2888888888888889,3
naive_adapter,0.0,5,1,0.8313035714285715,0.755,0.27222222222222225,3
zero_shot_clap,0.0,1,1,0.958359126984127,0.94,0.038888888888888876,2
zero_shot_clap,0.0,2,1,0.9815009920634921,0.965,0.01666666666666667,2
zero_shot_clap,0.0,3,1,0.9592777777777778,0.9325,0.030555555555555558,3
zero_shot_clap,0.0,4,1,0.9813343253968254,0.9475,0.022222222222222216,3
zero_shot_clap,0.0,5,1,0.9633402777777776,0.9325,0.04166666666666668,3
