method,beta,fold,seed,task_id,seen_classes,accuracy,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,1,1,5,0.95,0.516409695148468,0.11891762167215347,0.6790542794907438
zero_shot_clap,0.0,1,1,2,10,0.975,0.5330258011817932,0.11390730738639832,0.6429628280032216
zero_shot_clap,0.0,1,1,3,15,0.9833333333333333,0.5233146548271179,0.11897953599691391,0.6532195852314759
zero_shot_clap,0.0,1,1,4,20,0.9875,0.5156700015068054,0.11809276789426804,0.6454842614229179
zero_shot_clap,0.0,1,1,5,25,0.98,0.5181930661201477,0.11593376100063324,0.6433111839728162
zero_shot_clap,0.0,1,1,6,30,0.9375,0.5160843133926392,0.11486103385686874,0.6447512902092336
zero_shot_clap,0.0,1,1,7,35,0.9392857142857143,0.514988899230957,0.12031432241201401,0.6413855611669933
zero_shot_clap,0.0,1,1,8,40,0.94375,0.5151845812797546,0.11874129623174667,0.6412184208087592
zero_shot_clap,0.0,1,1,9,45,0.9472222222222222,0.5173953771591187,0.12144100666046143,0.6443070202378092
zero_shot_clap,0.0,1,1,10,50,0.94,0.5197070240974426,0.12190168350934982,0.6444655921001089
naive_adapter,0.0,1,1,1,5,0.975,0.5585070848464966,-0.08108989894390106,0.6879857545855224
naive_adapter,0.0,1,1,2,10,0.8875,0.47306662797927856,-0.07023690640926361,0.7450592240123286
naive_adapter,0.0,1,1,3,15,0.875,0.4467509686946869,-0.05244433134794235,0.7818731244785543
naive_adapter,0.0,1,1,4,20,0.93125,0.4302441477775574,-0.04947851970791817,0.7907032759962476
naive_adapter,0.0,1,1,5,25,0.745,0.4210071861743927,-0.039069995284080505,0.8039729014268727
naive_adapter,0.0,1,1,6,30,0.7625,0.43259668350219727,-0.011939496733248234,0.7878655471650349
naive_adapter,0.0,1,1,7,35,0.7857142857142857,0.4417249858379364,0.006346678361296654,0.7285928647492578
naive_adapter,0.0,1,1,8,40,0.8125,0.42998066544532776,-0.011479143053293228,0.7468086880580076
naive_adapter,0.0,1,1,9,45,0.8,0.45015063881874084,0.023017024621367455,0.7189806872231049
naive_adapter,0.0,1,1,10,50,0.77,0.42687684297561646,-0.002186218276619911,0.7489580756448733
mgp_only,0.0,1,1,1,5,0.95,0.5220955014228821,0.11405818164348602,0.6769969561455613
mgp_only,0.0,1,1,2,10,0.975,0.5385512113571167,0.09692966938018799,0.6311406699789622
mgp_only,0.0,1,1,3,15,0.9833333333333333,0.5086320042610168,0.06519652158021927,0.6433677645036681
mgp_only,0.0,1,1,4,20,0.9875,0.4804418683052063,0.04616247117519379,0.66529863018187
mgp_only,0.0,1,1,5,25,0.96,0.4554356336593628,0.022604910656809807,0.7104661525963618
mgp_only,0.0,1,1,6,30,0.9,0.43045762181282043,0.011931049637496471,0.7541328651114073
mgp_only,0.0,1,1,7,35,0.925,0.47123512625694275,0.04458770900964737,0.6679744879268793
mgp_only,0.0,1,1,8,40,0.93125,0.4583449959754944,0.02673059143126011,0.6851548497997512
mgp_only,0.0,1,1,9,45,0.9416666666666667,0.4881148338317871,0.051498960703611374,0.6355533704634933
mgp_only,0.0,1,1,10,50,0.9375,0.44226542115211487,0.015282807871699333,0.7238377810922993
mgc_only,4.0,1,1,1,5,0.975,0.5748079419136047,-0.07960514724254608,0.6835632308148725
mgc_only,4.0,1,1,2,10,0.9125,0.48134860396385193,-0.06950711458921432,0.7364865001780948
mgc_only,4.0,1,1,3,15,0.8916666666666667,0.45197594165802,-0.050402604043483734,0.7766412438891547
mgc_only,4.0,1,1,4,20,0.8875,0.43793898820877075,-0.04552433639764786,0.7763842375709209
mgc_only,4.0,1,1,5,25,0.79,0.4277053773403168,-0.039967555552721024,0.7922170120031655
mgc_only,4.0,1,1,6,30,0.7833333333333333,0.4307078719139099,-0.016741806641221046,0.7911417798014773
mgc_only,4.0,1,1,7,35,0.8035714285714286,0.445387601852417,0.005749864969402552,0.7279773927897812
mgc_only,4.0,1,1,8,40,0.8125,0.44262856245040894,-0.010223375633358955,0.7279855585215599
mgc_only,4.0,1,1,9,45,0.7277777777777777,0.4401182532310486,0.015990765765309334,0.7314972980896818
mgc_only,4.0,1,1,10,50,0.76,0.43244853615760803,-0.004591666627675295,0.741610458456386
mgp_mgc,4.0,1,1,1,5,0.95,0.5216903686523438,0.11150307953357697,0.6739743759007039
mgp_mgc,4.0,1,1,2,10,0.975,0.536320686340332,0.09519150853157043,0.6296105110002559
