backbone,seed,class_order,method,beta,alpha,adapter_rank,Avg_mean,Avg_std,Last_mean,Last_std,forgetting_proxy_mean,forgetting_proxy_std,summary_path
msclap,0,canonical,zero_shot_clap,0.0,0.1,16,0.9558319444444445,0.013115257283931137,0.9435,0.012103718436910198,0.017777777777777767,0.008534606386520673,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_0/summary.json
msclap,1,shuffled,mgc_only,4.0,0.1,16,0.8381847222222222,0.013086630023101902,0.7395,0.011445523142259604,0.2872222222222222,0.013217085837078129,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_1/summary.json
msclap,1,shuffled,mgp_mgc,4.0,0.1,16,0.9628523809523809,0.010154104760646012,0.9550000000000001,0.009617692030835658,0.04444444444444445,0.010686324478706308,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_1/summary.json
msclap,1,shuffled,mgp_only,0.0,0.1,16,0.9460744047619049,0.013837571962503376,0.9375,0.011291589790636221,0.060555555555555564,0.008854098583616236,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_1/summary.json
msclap,1,shuffled,naive_adapter,0.0,0.1,16,0.8298623015873016,0.006229361850007388,0.7435,0.01779044687465719,0.28388888888888897,0.020442632769971204,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_1/summary.json
msclap,1,shuffled,zero_shot_clap,0.0,0.1,16,0.9687624999999999,0.010468147815417855,0.9435,0.012103718436910198,0.03,0.009525793444156804,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_1/summary.json
msclap,2,shuffled,mgc_only,4.0,0.1,16,0.8762343253968254,0.008426295923741191,0.7885,0.01632482771731452,0.2322222222222222,0.017266966964355607,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_2/summary.json
msclap,2,shuffled,mgp_mgc,4.0,0.1,16,0.9810922619047618,0.005448310203489182,0.9504999999999999,0.01133578404875462,0.05000000000000001,0.013028932666176192,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_2/summary.json
msclap,2,shuffled,mgp_only,0.0,0.1,16,0.9738626984126982,0.002242043878970293,0.9390000000000001,0.009027735042633876,0.058333333333333334,0.01254621087848469,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_2/summary.json
msclap,2,shuffled,naive_adapter,0.0,0.1,16,0.8686204365079366,0.011439181059660535,0.765,0.022748626332154666,0.2577777777777778,0.025178375985832602,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_2/summary.json
msclap,2,shuffled,zero_shot_clap,0.0,0.1,16,0.9786456349206348,0.005040541788705243,0.9435,0.012103718436910198,0.03388888888888889,0.015153535218873172,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_2/summary.json
msclap,3,shuffled,mgc_only,4.0,0.1,16,0.8657642857142858,0.014527988458993621,0.8195,0.015763882770434452,0.19388888888888886,0.015153535218873181,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_3/summary.json
msclap,3,shuffled,mgp_mgc,4.0,0.1,16,0.9827926587301586,0.008734321450746065,0.9739999999999999,0.011999999999999999,0.01888888888888889,0.010886621079036346,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_3/summary.json
msclap,3,shuffled,mgp_only,0.0,0.1,16,0.9739496031746032,0.010922154207775241,0.9559999999999998,0.00943398113205663,0.036111111111111115,0.01039349274103872,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_3/summary.json
msclap,3,shuffled,naive_adapter,0.0,0.1,16,0.8295369047619048,0.016476801250549625,0.784,0.027730849247724097,0.23333333333333334,0.03068155838107572,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_3/summary.json
msclap,3,shuffled,zero_shot_clap,0.0,0.1,16,0.9708920634920635,0.006151991287652414,0.9435,0.012103718436910198,0.02777777777777778,0.009781564923143892,/home/rwik/leiden_projects/MG-CLAP/results/continual_mgclap_phase2/msclap/seed_3/summary.json
