backbone,method,canonical_seed,canonical_Avg,canonical_Last,shuffled_runs,shuffled_Avg_mean,shuffled_Avg_std,shuffled_Last_mean,shuffled_Last_std,delta_Avg_shuffled_minus_canonical,delta_Last_shuffled_minus_canonical
laion,mgc_only,0,0.7796513888888889,0.7234999999999999,3,0.8206124999999999,0.00907039116492639,0.7048333333333333,0.06549469868283658,0.040961111111111004,-0.01866666666666661
laion,mgp_mgc,0,0.945252380952381,0.9039999999999999,3,0.9774276455026456,0.007998271632022737,0.9543333333333331,0.0211200273568847,0.03217526455026465,0.05033333333333323
laion,mgp_only,0,0.8273464285714285,0.8059999999999998,3,0.9234494047619047,0.008790473382495391,0.8890000000000001,0.010008329864001651,0.09610297619047625,0.0830000000000003
laion,naive_adapter,0,0.7240208333333333,0.6255,3,0.7880839947089946,0.015274892229332369,0.6753333333333332,0.06508498717488968,0.06406316137566126,0.049833333333333285
laion,zero_shot_clap,0,0.8175575396825397,0.8310000000000001,3,0.8854890873015872,0.008585736190927526,0.8310000000000001,0.0,0.0679315476190474,0.0
msclap,mgc_only,0,0.774852380952381,0.8219999999999998,3,0.860061111111111,0.01604862872339185,0.7825000000000001,0.032934277989150836,0.0852087301587301,-0.03949999999999976
msclap,mgp_mgc,0,0.9656843253968252,0.9484999999999999,3,0.9755791005291005,0.009025884286476589,0.9598333333333332,0.010184410744968083,0.009894775132275213,0.011333333333333306
msclap,mgp_only,0,0.9240253968253969,0.9135,3,0.9646289021164022,0.013120058871004722,0.9441666666666667,0.008389808632435398,0.040603505291005315,0.03066666666666673
msclap,naive_adapter,0,0.7473765873015873,0.7955,3,0.8426732142857144,0.01834793769629228,0.7641666666666668,0.01654455264497115,0.09529662698412711,-0.03133333333333321
msclap,zero_shot_clap,0,0.9558319444444445,0.9435,3,0.9727667328042328,0.00424695010074763,0.9434999999999999,1.1102230246251565e-16,0.016934788359788233,-1.1102230246251565e-16
