backbone,method,runs,Avg_mean,Avg_std,Last_mean,Last_std,forgetting_proxy_mean,forgetting_proxy_std
laion,mgc_only,4,0.8103722222222223,0.019398295384175607,0.7095,0.057293106042524876,0.3156944444444444,0.06394245942473557
laion,mgp_mgc,4,0.9693838293650794,0.015559183654344586,0.9417499999999999,0.028452811811840367,0.05111111111111111,0.030924539778205702
laion,mgp_only,4,0.8994236607142856,0.042304414046779794,0.8682500000000001,0.03697042737107601,0.09930555555555555,0.051128280630654055
laion,naive_adapter,4,0.7720682043650793,0.0307328549029218,0.662875,0.06035455140252474,0.3684722222222222,0.06546176789207236
laion,zero_shot_clap,4,0.8685062003968254,0.030340426699618922,0.8310000000000001,0.0,0.056527777777777774,0.016631328276686553
msclap,mgc_only,4,0.8387589285714285,0.03942737381297194,0.7923749999999999,0.033257283036952925,0.2251388888888889,0.03974528273896161
msclap,mgp_mgc,4,0.9731054067460316,0.008913889339779157,0.957,0.010093314619093153,0.04041666666666667,0.012591486198672421
msclap,mgp_only,4,0.9544780257936508,0.02093377244892453,0.9365,0.015136875503220565,0.059722222222222225,0.016912538266543077
msclap,naive_adapter,4,0.8188490575396825,0.0442182818216486,0.772,0.019732587260671095,0.24819444444444444,0.02505972803395528
msclap,zero_shot_clap,4,0.9685330357142856,0.008203658453212113,0.9435,0.0,0.02736111111111111,0.005949569441834421
