fold,seed,epoch,neg_mean,pos_mean,drift,gap_distance,selected
1,3,0,0.1186259537935257,0.5507136583328247,0.0,0.6870334061234059,False
1,3,1,0.11664040386676788,0.5527135133743286,0.016737904845121495,0.6847053776134315,True
1,3,2,0.10541627556085587,0.56005859375,0.11135571778551871,0.6770197420439302,False
2,3,0,0.11976347118616104,0.5492645502090454,0.0,0.6799329870660138,False
2,3,1,0.11741957813501358,0.551211953163147,0.01957101800685202,0.6777920092077847,True
2,3,2,0.10526464879512787,0.5576725602149963,0.12106214229960084,0.6712217076655081,False
3,3,0,0.12045464664697647,0.5452603101730347,0.0,0.6850030481161469,False
3,3,1,0.11850164830684662,0.5475157499313354,0.016213557504789495,0.6829795598763487,True
3,3,2,0.10606513172388077,0.5548864603042603,0.11946002353290615,0.6776361588027066,False
4,3,0,0.12127375602722168,0.5481363534927368,0.0,0.6826507501767435,False
4,3,1,0.11961743980646133,0.5503945350646973,0.013657664073573848,0.6806026968070525,True
4,3,2,0.1089571937918663,0.558318018913269,0.10155999648094304,0.6744368204779215,False
5,3,0,0.11920599639415741,0.5501301884651184,0.0,0.6883181146813782,False
5,3,1,0.11675000190734863,0.5522536039352417,0.02060294415633232,0.6859782794671967,True
5,3,2,0.10284750163555145,0.5583502054214478,0.13722879094534987,0.6801084622606512,False
