method,beta,fold,seed,task_id,seen_classes,accuracy,pos_mean,neg_mean,gap_distance
zero_shot_clap,0.0,1,0,1,5,0.8,0.44728556275367737,0.20393109321594238,0.763349006857609
zero_shot_clap,0.0,1,0,2,10,0.7875,0.4180127680301666,0.15670987963676453,0.791886748477592
zero_shot_clap,0.0,1,0,3,15,0.8083333333333333,0.38887009024620056,0.07948743551969528,0.7914497621173061
zero_shot_clap,0.0,1,0,4,20,0.79375,0.38256168365478516,0.05058620870113373,0.7869404219114329
zero_shot_clap,0.0,1,0,5,25,0.82,0.3794518709182739,0.037729114294052124,0.7885155145318222
zero_shot_clap,0.0,1,0,6,30,0.8166666666666667,0.36996951699256897,0.027957193553447723,0.7946601874796847
zero_shot_clap,0.0,1,0,7,35,0.8357142857142857,0.37893763184547424,0.02422233112156391,0.7747884670566632
zero_shot_clap,0.0,1,0,8,40,0.840625,0.3803374767303467,0.023385757580399513,0.7692082538602791
zero_shot_clap,0.0,1,0,9,45,0.8416666666666667,0.3826231360435486,0.025183379650115967,0.7661478647428122
zero_shot_clap,0.0,1,0,10,50,0.8425,0.38761162757873535,0.024950679391622543,0.7620153201869715
naive_adapter,0.0,1,0,1,5,1.0,0.5271273851394653,0.033228810876607895,0.7081693330211017
naive_adapter,0.0,1,0,2,10,0.8125,0.34632474184036255,-0.05524986609816551,0.8761450466050428
naive_adapter,0.0,1,0,3,15,0.6333333333333333,0.3737363815307617,0.002028880175203085,0.853266266296636
naive_adapter,0.0,1,0,4,20,0.6,0.4093227982521057,0.03190120309591293,0.781225899137262
naive_adapter,0.0,1,0,5,25,0.695,0.4178824722766876,0.029038505628705025,0.7572419949442053
naive_adapter,0.0,1,0,6,30,0.525,0.3656488060951233,0.01044944766908884,0.8254979956754711
naive_adapter,0.0,1,0,7,35,0.6892857142857143,0.34403717517852783,-0.0309465192258358,0.8138461726949104
naive_adapter,0.0,1,0,8,40,0.678125,0.3851534426212311,0.010548087768256664,0.7552789715641973
naive_adapter,0.0,1,0,9,45,0.6055555555555555,0.38076409697532654,0.01927565038204193,0.7625302417102264
naive_adapter,0.0,1,0,10,50,0.62,0.3600766360759735,-0.011536216363310814,0.8123551799192211
mgp_only,0.0,1,0,1,5,1.0,0.4853595197200775,0.17361107468605042,0.7177828490234318
mgp_only,0.0,1,0,2,10,0.825,0.40029048919677734,0.07312507927417755,0.7889406504211601
mgp_only,0.0,1,0,3,15,0.7333333333333333,0.36813774704933167,0.03965844586491585,0.8058313640918694
mgp_only,0.0,1,0,4,20,0.71875,0.3840654790401459,0.039525024592876434,0.7772703145165215
mgp_only,0.0,1,0,5,25,0.82,0.396259605884552,0.036953169852495193,0.7465856741629217
mgp_only,0.0,1,0,6,30,0.7208333333333333,0.36362457275390625,0.02893243543803692,0.8092949451974392
mgp_only,0.0,1,0,7,35,0.8107142857142857,0.34439048171043396,-0.018392788246273994,0.8031273579782023
mgp_only,0.0,1,0,8,40,0.81875,0.4019100069999695,0.04319038987159729,0.7429082667353669
mgp_only,0.0,1,0,9,45,0.85,0.4062711000442505,0.035023003816604614,0.7121857539768092
mgp_only,0.0,1,0,10,50,0.795,0.3794873356819153,0.019944095984101295,0.7803776037488112
mgc_only,4.0,1,0,1,5,1.0,0.5255500674247742,0.02707175351679325,0.7099149503660883
mgc_only,4.0,1,0,2,10,0.8625,0.34883877635002136,-0.053473081439733505,0.8703648628439175
mgc_only,4.0,1,0,3,15,0.6666666666666666,0.3716946840286255,-0.0003792155475821346,0.8578910847443636
mgc_only,4.0,1,0,4,20,0.64375,0.41087716817855835,0.030582167208194733,0.7906754444076942
mgc_only,4.0,1,0,5,25,0.81,0.4159384071826935,0.02456403523683548,0.7574886681310568
mgc_only,4.0,1,0,6,30,0.5541666666666667,0.362844318151474,0.00981114525347948,0.8317627337988016
mgc_only,4.0,1,0,7,35,0.6857142857142857,0.35843223333358765,-0.01587439700961113,0.7960479826441109
mgc_only,4.0,1,0,8,40,0.75,0.3914518356323242,0.013143382035195827,0.7499977475556657
mgc_only,4.0,1,0,9,45,0.6527777777777778,0.3848399221897125,0.020199188962578773,0.7515971646525503
mgc_only,4.0,1,0,10,50,0.6675,0.3661268651485443,-0.005022565834224224,0.8119194921591014
mgp_mgc,4.0,1,0,1,5,1.0,0.484811395406723,0.1722206324338913,0.7193777041005698
mgp_mgc,4.0,1,0,2,10,0.95,0.4048706889152527,0.07507946342229843,0.7828316253054417
mgp_mgc,4.0,1,0,3,15,0.9,0.3759904205799103,0.04421529918909073,0.7931420930855404
mgp_mgc,4.0,1,0,4,20,0.89375,0.39117226004600525,0.043272100389003754,0.7677626676852172
mgp_mgc,4.0,1,0,5,25,0.935,0.39858466386795044,0.03747957572340965,0.7396864010359147
mgp_mgc,4.0,1,0,6,30,0.8166666666666667,0.3628584146499634,0.03102695383131504,0.814829647988515
mgp_mgc,4.0,1,0,7,35,0.8714285714285714,0.349660724401474,-0.011737799271941185,0.8022426822304923
mgp_mgc,4.0,1,0,8,40,0.9,0.4005807042121887,0.041215065866708755,0.7440598078474376
mgp_mgc,4.0,1,0,9,45,0.9361111111111111,0.4079359173774719,0.033792443573474884,0.7053605561476474
mgp_mgc,4.0,1,0,10,50,0.8625,0.38125109672546387,0.019396647810935974,0.7780131461304826
zero_shot_clap,0.0,2,0,1,5,0.775,0.4541921615600586,0.20828139781951904,0.7702904767439461
zero_shot_clap,0.0,2,0,2,10,0.775,0.41824084520339966,0.15548895299434662,0.786751113412759
