method,beta,fold,seed,Avg,Last,forgetting_proxy,e_star
mgc_only,4.0,1,0,0.7961150793650793,0.7275,0.2916666666666667,4
mgc_only,4.0,2,0,0.7577926587301588,0.6925,0.33333333333333326,4
mgc_only,4.0,3,0,0.7974503968253969,0.755,0.2611111111111112,4
mgc_only,4.0,4,0,0.7792936507936508,0.7075,0.3055555555555556,4
mgc_only,4.0,5,0,0.7347023809523809,0.6625,0.3638888888888889,3
mgp_mgc,4.0,1,0,0.9505982142857142,0.925,0.06666666666666665,4
mgp_mgc,4.0,2,0,0.9677073412698413,0.915,0.09166666666666667,4
mgp_mgc,4.0,3,0,0.9670079365079364,0.9325,0.06944444444444445,4
mgp_mgc,4.0,4,0,0.9574067460317461,0.9175,0.06388888888888888,4
mgp_mgc,4.0,5,0,0.9551656746031746,0.9375,0.05277777777777778,3
mgp_only,0.0,1,0,0.8241468253968254,0.8325,0.1611111111111111,4
mgp_only,0.0,2,0,0.8161458333333333,0.7875,0.20833333333333334,4
mgp_only,0.0,3,0,0.8499077380952382,0.8225,0.16944444444444443,4
mgp_only,0.0,4,0,0.837594246031746,0.805,0.18055555555555555,4
mgp_only,0.0,5,0,0.8320724206349206,0.82,0.15555555555555556,3
naive_adapter,0.0,1,0,0.7286369047619048,0.6475,0.38055555555555554,4
naive_adapter,0.0,2,0,0.7157569444444444,0.5775,0.4583333333333333,4
naive_adapter,0.0,3,0,0.7409563492063492,0.66,0.36388888888888893,4
naive_adapter,0.0,4,0,0.7480029761904762,0.68,0.33888888888888885,4
naive_adapter,0.0,5,0,0.7006547619047618,0.56,0.47777777777777775,3
zero_shot_clap,0.0,1,0,0.8186755952380953,0.8425,0.038888888888888896,4
zero_shot_clap,0.0,2,0,0.818357142857143,0.82,0.055555555555555566,4
zero_shot_clap,0.0,3,0,0.8196646825396826,0.8275,0.04722222222222223,4
zero_shot_clap,0.0,4,0,0.8093541666666665,0.8375,0.030555555555555544,4
zero_shot_clap,0.0,5,0,0.8217361111111112,0.8275,0.049999999999999996,3
